len,mismatches,side_a,from_a,side_b,from_b,text_a,text_b
7,0,Hr,Hr03@18,Qr,Qr03@5,062y.006-001-062y.006-001-062y.006-001!-020g.064b,062.006-001-062.006-001-062.006-001-020Vay.064
7,1,Hr,Hr04@43,Qr,Qr04@22,700-200.070a-057b-040-600-200.015a-065V.010,700-200.070-057c-040-400-200!.015a!-065V.010
7,0,Hr,Hr05@24,Pr,Pr05@6,002e-041-220.009h-220.009jh-440-440-440a,002a-041-220.009-220.009-440-440-440a
7,1,Hr,Hr06@29,Pr,Pr05@73,060a-093-070-520-381-008-001.008,060a-093-070a-520-451!-008-001.082c
7,0,Hr,Hr12@6,Pv,Pv01@24,684a-382-048f-684b-007-600-326,684b-382-048f-684d-007-600o-326
7,0,Hv,Hv10@8,Pv,Pv11@18,022bfy-022bfy-022bfy-600-072b-002a-002a,022bfy!-022bfy!-022bfy!-600!-072!-002a!-002a!
7,0,Hv,Hv10@36,Pv,Pv11@43,022-050a-007-144f-733a-384.074f-224,022a!-050-007!-144f-733a!-384.074f-224
7,0,Pr,Pr06@23,Qr,Qr06@24,430y-214-002-203-027b-090-545,430y-214-002-203-027-090-545
6,0,Ca,Ca07@5,Ca,Ca07@14,040-390.041-378-041-670-008.078.711,040-390.041-378y-041h-670-008.078.711
6,0,Ca,Ca07@14,Ca,Ca08@2,040-390.041-378y-041h-670-008.078.711,040-390.041-378y-041h-670-008.078.711
6,0,Ca,Ca07@14,Ca,Ca08@21,040-390.041-378y-041h-670-008.078.711,040-390.041-378y-041-670-008.078.711
6,0,Er,Er01@28,Er,Er02@36,040-040-300.028x-004.430-022-203s,040-040-300.028x-004-022-203s
6,0,Er,Er02@8,Er,Er02@22,300-040-300.028x-004.430?-022.380y-203s,300-040-300.028x-004.430-022.380y-203
6,0,Gr,Gr01@4,Kr,Kr01@2,522-045.061.009-260.001-004.711-260.001-004.711,522-045.061.009-260.001-004.711-260.001-004.711
6,0,Gr,Gr04@3,Kr,Kr05@0,380.001.003-005.006.010-380.001.003-315-380.001.003-090,380.001.003-005.006.010-380.001.003-315-380.001.003-090.001
6,0,Hr,Hr01@22,Qr,Qr01@4,280-200.048-254-755.003a-734a.003a-306,280!-200.048-254j-755a.003a-734a!.003a-306!.003a
6,0,Hr,Hr02@17,Pr,Pr02@10,382y-382-002Vaxy-070-202a-202a,382y-382-002Vaxy-070-202a-202
6,0,Hr,Hr10@12,Pr,Pr09@27,001-099-010.001-050-001.010-022,001-099-010.001-050-001.010-022
6,0,Hv,Hv01@24,Pv,Pv03@28,600-027-700-011-078y.308-034!,600-027-700c-011-078y.308-034d
6,0,Hv,Hv04@39,Qv,Qv07@29,430y-002.010-002.010-144f-026x-006,430-002c.010-002d.010-144f-026x-006
6,0,Hv,Hv09@12,Pv,Pv10@24,235y-120-120y-005j-011.010-070,235sy-120-120y-005j-011.010-070a
5,0,Aa,Aa07@56,Aa,Aa07@68,020b-020by-080-004-280,020b-020by-080-004-280.025
5,0,Ab,Ab01@55,Ab,Ab01@70,741-091-600-001-009a,741-091-600-001-009a
5,0,Br,Br01@3,Br,Br01@21,004-002-595.001-050-301s,004t-002-595.002-050-301s.004
5,0,Br,Br01@15,Br,Br01@20,394-004t-002-595.002-050,394-004t-002-595.002-050
5,0,Br,Br04@12,Br,Br04@20,384-003.001-470-091t-450,384-003.001-470-091t-450
5,0,Ca,Ca06@20,Ca,Ca08@5,041-670-008.078.711-040.010-040,041h-670-008.078.711-040-040
5,0,Ca,Ca07@15,Ca,Ca08@11,390.041-378y-041h-670-008.078.711,390.041-378y-041-670-008.078.711
5,0,Ca,Ca10@7,Ca,Ca11@4,760-040-006-400-047,760-040-006-400-047
5,0,Ca,Ca10@14,Ca,Ca11@3,010f.070-760-040-006-400,010f.070-760-040-006-400
5,0,Cb,Cb02@19,Cb,Cb04@13,064-660y-064h-660-380.001,064h-660.005-064h-660.005-380.001
5,0,Er,Er01@28,Er,Er06@29,040-040-300.028x-004.430-022,040-040-300.028x-004.430-022.380y
5,0,Er,Er01@29,Er,Er02@9,040-300.028x-004.430-022-203s,040-300.028x-004.430?-022.380y-203s
5,0,Er,Er01@29,Er,Er02@23,040-300.028x-004.430-022-203s,040-300.028x-004.430-022.380y-203
5,0,Er,Er02@9,Er,Er02@37,040-300.028x-004.430?-022.380y-203s,040-300.028x-004-022-203s
5,0,Er,Er02@9,Er,Er03@11,040-300.028x-004.430?-022.380y-203s,040-300.028x-004.430y-022.380y-203s
5,0,Er,Er02@23,Er,Er02@37,040-300.028x-004.430-022.380y-203,040-300.028x-004-022-203s
5,0,Er,Er02@23,Er,Er03@11,040-300.028x-004.430-022.380y-203,040-300.028x-004.430y-022.380y-203s
5,0,Er,Er02@36,Er,Er06@29,040-040-300.028x-004-022,040-040-300.028x-004.430-022.380y
5,0,Er,Er02@37,Er,Er03@11,040-300.028x-004-022-203s,040-300.028x-004.430y-022.380y-203s
5,0,Ev,Ev04@4,Na,Na03@2,001.061?-380.001-280-001-280,001-380.001.052-280?-001-280?
5,0,Ev,Ev06@9,Hv,Hv12@34,004-522fy-700-600-059f,004-522y-700-600-059f
5,0,Ev,Ev06@9,Ra,Ra05@10,004-522fy-700-600-059f,004-522-700-600-059f
5,0,Gr,Gr03@1,Kr,Kr03@17,470-001t-430-580c-380.001.003,470-001t-430-580c-380.001.003
5,0,Gr,Gr07@3,Kv,Kv04@7,380.001.003-162-522f-050f-002,380.001.003-162-522-050-002.450
5,0,Gr,Gr07@20,Gr,Gr08@5,098-007-059f-002.109-022f.291,098-007-059f-002-022
5,0,Gr,Gr08@10,Gr,Gr08@16,124-001-124-098-007,124-001-124-098-007
5,0,Hr,Hr03@11,Qr,Qr02@40,140a-004a.004ay.206-558a-065.003a-200.004,140-004.004-558b-065.003a-200.004
5,0,Hr,Hr04@34,Qr,Qr04@13,001.006.109a-050-755a-001.063-013.006,001.006.711d-050d-755a-001.063-013.006
5,0,Hr,Hr05@0,Pr,Pr04@48,060a.055a-588a-060a-001.069-060a.069,060b.055ay-588-060a-001-060a
5,0,Hr,Hr05@45,Pr,Pr05@29,066y.009.549-066y.006.549-554-015a-022bfy,066.009-066.006-554-015a-022f
5,0,Hr,Hr09@2,Qr,Qr08@29,624-001.010-001.010-007-093j,624-001.074x-001.074x-007-093j
5,0,Hr,Hr09@31,Pr,Pr09@2,002a-755a-047-200-372,002a!-755a-047-200!-372
5,0,Hr,Hr09@32,Qr,Qr09@29,755a-047-200-372-020a.006y,755a!-047!-200!-372!-020a.006
5,0,Hr,Hr11@18,Qv,Qv02@21,091k-044ax-773d-430c-430,091-044ax-773d-430c-430?
5,0,Hv,Hv01@24,Qv,Qv04@13,600-027-700-011-078y.308,600-027-700-011-078y.308.034!
5,0,Hv,Hv02@4,Pv,Pv04@16,256c-006.549-308-034d-216s,256b-006-308-034c-216s
5,0,Hv,Hv02@42,Qv,Qv05@26,067.010-260-067.010-067.010h.107-008,067.010-260-067.010-067.010.062-008
5,0,Hv,Hv07@2,Pv,Pv08@37,077b-570a-055b-045-280,077cy-570-055-045-280e
5,0,Pr,Pr04@21,Qr,Qr04@13,001.006.109a-050-755a-001.063-013b.006,001.006.711d-050d-755a-001.063-013.006
5,0,Pr,Pr09@12,Qr,Qr09@37,770e-060a-070a-061y.001.061-386,770g!-060a!-070-061x!.001!.061!-386!
5,0,Qr,Qr08@35,Qv,Qv03@26,028x.095j-073f-001-057c-001,028x.095j-073f-001-057c-001
5,0,Sb,Sb02@8,Sb,Sb02@17,081-004-660x-081-004,081-004-660x-081-004
4,0,Aa,Aa01@31,Aa,Aa01@39,22by-65.3a-65.3a-65.95aj,22-65.450y-65.9-65.6y
4,0,Aa,Aa04@43,Aa,Aa04@51,660-002a.049f-005j-254aj,660-002a-005j-254a
4,0,Aa,Aa05@2,Ab,Ab04@78,001-005j-306s.108-079,001-005j-306-079.074
4,0,Aa,Aa05@9,Ab,Ab07@28,002d-046-002d-050V,002a-046-002a-050f
4,0,Aa,Aa05@59,Aa,Aa05@66,004-081x-117a-081x,004-081x-117a-081x
4,0,Aa,Aa07@22,Ra,Ra07@12,002a-020by-080-004a,002-020-080-004
4,0,Aa,Aa07@56,Ra,Ra07@5,020b-020by-080-004,020-020-080-004
4,0,Aa,Aa07@68,Ra,Ra07@5,020b-020by-080-004,020-020-080-004
4,0,Ab,Ab01@3,Ab,Ab01@62,305.020ehy-600.007-290-025b,305.020efhy-600.007-290-025b
4,0,Ab,Ab01@8,Ab,Ab02@5,080bx-004-001.009:005j-300.074fhx,080-004-001.009:005t-300.088
4,0,Ab,Ab01@16,Ab,Ab07@6,022bfy-025b-001-009a,022bfy-025b-001-009a
4,0,Ab,Ab01@44,Ab,Ab01@70,741-091-600-001.009:005,741-091-600-001
4,0,Ab,Ab03@12,Ab,Ab05@21,741.003a-445.003a-719-450.052,741.003a-445.003a-719a-450.052
4,0,Ab,Ab04@13,Ra,Ra06@10,001.052-007-067a.010f-067a,001-007-067.022f-067.022f
4,0,Ab,Ab07@10,Qr,Qr09@2,606.074af-004-600f-004ax.074a,606!-004!-600!-004!
4,0,Bv,Bv06@19,Hv,Hv01@24,600-027.006-700-011.209a,600-027-700-011
4,0,Bv,Bv06@19,Pv,Pv03@28,600-027.006-700-011.209a,600-027-700c-011
4,0,Bv,Bv06@19,Qv,Qv04@13,600-027.006-700-011.209a,600-027-700-011
4,0,Bv,Bv09@25,Gr,Gr01@4,522f-045.061.009-260.001-004.711,522-045.061.009-260.001-004.711
4,0,Bv,Bv09@25,Kr,Kr01@2,522f-045.061.009-260.001-004.711,522-045.061.009-260.001-004.711
4,0,Bv,Bv12@12,Gr,Gr02@19,004-522y-700.600-059f,004-522-700.600-059
4,0,Bv,Bv12@12,Kr,Kr03@7,004-522y-700.600-059f,004-522-700.400-059
4,0,Bv,Bv12@12,Ma,Ma02@16,004-522y-700.600-059f,004?.000!-522?-700.600V?-059f?
4,0,Ca,Ca01@1,Hr,Hr01@1,009-755-050.010.037-005.037,009!-755a-050.010-005
4,0,Ca,Ca06@20,Ca,Ca07@8,041-670-008.078.711-040.010,041-670-008.078.711-040
4,0,Ca,Ca07@7,Ca,Ca07@25,378-041-670-008.078.711,378y-041-670y-008
4,0,Ca,Ca07@16,Ca,Ca07@25,378y-041h-670-008.078.711,378y-041-670y-008
4,0,Ca,Ca07@25,Ca,Ca08@4,378y-041-670y-008,378y-041h-670-008.078.711
4,0,Ca,Ca07@25,Ca,Ca08@23,378y-041-670y-008,378y-041-670-008.078.711
4,0,Ca,Ca10@7,Ca,Ca10@15,760-040-006-400,760-040-006-400
4,0,Ca,Ca10@14,Ca,Ca10@21,010f.070-760-040-006,010f.070-760-040-006
4,0,Ca,Ca10@14,Ca,Ca11@14,010f.070-760-040-006,010f.070-760-040-006
4,0,Ca,Ca10@14,Ca,Ca11@32,010f.070-760-040-006,010f.070-760-040-006
4,0,Ca,Ca11@3,Ca,Ca11@32,010f.070-760-040-006,010f.070-760-040-006
4,0,Cb,Cb06@9,Cb,Cb06@16,381-004-066-760.004,381-004-066-760.004
4,0,Da,Da03@11,Hv,Hv04@3,600-200.052x-200.052x-600,600-200.560-200.560.001-600.532a.070
4,0,Er,Er01@11,Er,Er01@20,300y-300.024-004.430-022.430y,300y-300.024-004.430-022.430y
4,0,Er,Er01@11,Er,Er04@2,300y-300.024-004.430-022.430y,300.040-300.028x-004.430-022
4,0,Er,Er01@20,Er,Er04@2,300y-300.024-004.430-022.430y,300.040-300.028x-004.430-022
4,0,Er,Er01@30,Er,Er03@30,300.028x-004.430-022-203s,300.028x-004.430-022.380y-203
4,0,Er,Er02@9,Er,Er06@30,040-300.028x-004.430?-022.380y,040-300.028x-004.430-022.380y
4,0,Er,Er02@10,Er,Er03@30,300.028x-004.430?-022.380y-203s,300.028x-004.430-022.380y-203
4,0,Er,Er02@23,Er,Er06@30,040-300.028x-004.430-022.380y,040-300.028x-004.430-022.380y
4,0,Er,Er02@24,Er,Er03@30,300.028x-004.430-022.380y-203,300.028x-004.430-022.380y-203
4,0,Er,Er02@38,Er,Er03@30,300.028x-004-022-203s,300.028x-004.430-022.380y-203
4,0,Er,Er03@11,Er,Er06@30,040-300.028x-004.430y-022.380y,040-300.028x-004.430-022.380y
4,0,Er,Er03@12,Er,Er03@30,300.028x-004.430y-022.380y-203s,300.028x-004.430-022.380y-203
4,0,Er,Er06@13,Er,Er08@12,206-004.431-022.380y-200.450,206s-004.430-022.380y-200
4,0,Er,Er09@24,Pr,Pr01@0,001.009-755-050.010-005,001.200.009-755-050.010-005.037x
4,0,Er,Er09@24,Ra,Ra05@24,001.009-755-050.010-005,001.009-755-050-005
4,0,Er,Er09@30,Ra,Ra06@1,001-561-700-280,001?-561-700-280
4,0,Er,Er09@32,Hr,Hr01@8,700-280-001?-007,700-280-001a?-007
4,0,Er,Er09@32,Pr,Pr01@6,700-280-001?-007,700-280-001-007
4,0,Ev,Ev01@17,Pv,Pv06@26,056-034-700-204s,056a-034c-700c-204sy
4,0,Ev,Ev03@11,Sa,Sa02@21,062.006-001-006-001?,062.000!-001?.062?-006-001
4,0,Gr,Gr02@19,Ma,Ma02@16,004-522-700.600-059,004?.000!-522?-700.600V?-059f?
4,0,Gr,Gr03@9,Kr,Kr04@2,380.001.003-595.005-122-280,380.001-595.005-122-280
4,0,Gr,Gr05@11,Sa,Sa05@23,280-002-280-030a,280-002-280-030a
4,0,Gr,Gr05@19,Na,Na03@2,001-380.001.003-280-001,001-380.001.052-280?-001
4,0,Gr,Gr06@10,Kv,Kv02@15,380.001.003-090-001-607,380.001.003-090-001-607
4,0,Gr,Gr07@11,Kv,Kv04@14,773-260.011-020-306.124,773-260.011-020-306.700
4,0,Gr,Gr07@20,Gr,Gr08@25,098-007-059f-002.109,098-007-059f-002.076
4,0,Hr,Hr01@41,Pr,Pr01@33,005j-246.009-244-009a,005j-246.009-244-009a:244
4,0,Hr,Hr02@37,Pr,Pr02@29,099-721b-022-001a.062,099-721c-022-001.062
4,0,Hr,Hr03@38,Hr,Hr03@44,072a-450.052-551a.003a-600.003a,072-450.052-551b.003a-600.003a
4,0,Hr,Hr03@38,Qr,Qr03@32,072a-450.052-551a.003a-600.003a,072-450.052-551a.003a-600.003a
4,0,Hr,Hr03@44,Qr,Qr03@26,072-450.052-551b.003a-600.003a,072-450.052-551es.003a-600.003a
4,0,Hr,Hr03@50,Pr,Pr03@43,099-007-605s-752a,099-007-605bs-752
4,0,Hr,Hr04@56,Qr,Qr04@35,060a-060a.055a-588a-060a,060a-060a.055a-588!-060.001.069
4,0,Hr,Hr05@4,Qr,Qr04@38,060a.069-162-200.200.200.052x-200.081,060.001.069-162-200i.200i.200j.052x-200
4,0,Hr,Hr07@20,Qr,Qr07@4,530-040.522-571-202y,530y-040.522-571b-202
4,0,Hr,Hr07@30,Pr,Pr06@62,381.072-306.003a-028-027.095,381.010fh-306.003a-028-027.095j
4,0,Hr,Hr08@41,Qr,Qr08@12,300-005-591j-004,300-005-591-004
4,0,Hr,Hr10@0,Qr,Qr09@39,070-061y.001.061-386-070,070-061x!.001!.061!-386!-070
4,0,Hr,Hr10@17,Hr,Hr10@23,022-700-021e-001,022-700-021e-001
4,0,Hr,Hr11@9,Qv,Qv02@12,600-205-773c-090j,600-205-773g-090
4,0,Hv,Hv02@15,Pv,Pv04@27,044ax-069b.055a-382-421a,044-069.055a-382-421a
4,0,Hv,Hv03@11,Pv,Pv05@16,420y.052-002.010-010y.450.010-144af,420y.052-002.010-010y.450.010-144f
4,0,Hv,Hv04@2,Pv,Pv06@0,600.209c-600-200.560-200.560.001,600.209b-600-200.600.069h-200j.560.001
4,0,Hv,Hv05@35,Rb,Rb06@15,001a-200.050a-001.240.050a-022bf,001-200.022-001-022
4,0,Hv,Hv05@46,Pv,Pv07@28,381y.549t-205s.549t-081-482,381y-205sy-081a-482a
4,0,Hv,Hv06@2,Pv,Pv07@42,200.730-280-209b-280,200.440-280a-209g-280a
4,0,Hv,Hv06@31,Pv,Pv08@9,020.052-675b-004.064a-004.064a,020y.052-675b-004.064a-004.064a
4,0,Hv,Hv06@42,Pv,Pv08@22,450-209c-030cx-290,450-209V-030cx-290
4,0,Hv,Hv06@49,Pv,Pv08@29,005j-004.064a-737.052x?-464,005j-004.064a-737a.052x-464b
4,0,Hv,Hv09@29,Pv,Pv10@38,011.010-022bfy-022bfy-011.010,011.010-022bfy-022bfy-011.010
4,0,Ia,Ia01@46,Ia,Ia09@0,700t?-071-999-604.076,700-071.065.071-999t-604?.076?
4,0,Kr,Kr03@7,Ma,Ma02@16,004-522-700.400-059,004?.000!-522?-700.600V?-059f?
4,0,Na,Na05@6,Na,Na05@16,384-001-002-034,384-001-002-034
4,0,Pr,Pr01@0,Ra,Ra05@24,001.200.009-755-050.010-005.037x,001.009-755-050-005
4,0,Pr,Pr02@29,Qr,Qr02@7,099-721c-022-001.062,099b!-721!-022-001.062
4,0,Pr,Pr04@30,Qr,Qr04@22,700e.006-200.070a-057a-040a,700-200.070-057c-040
4,0,Pr,Pr04@34,Qv,Qv06@26,600a-200.070a-600a-200.015a,600-200.001-600-200.063
4,0,Pr,Pr08@34,Qr,Qr09@0,001a-154.246.242ai-606a-004.600ay,001a!-154!.246!.242!-606!-004!
4,0,Pr,Pr09@3,Qr,Qr09@29,755a-047-200!-372,755a!-047!-200!-372!
4,0,Pr,Pr10@24,Pr,Pr10@32,700f-700f-020Va-710f,700cx-700f-020Va-710f
4,0,Pv,Pv02@30,Qv,Qv03@20,053ay-360.041-360.041-430d,053a-360!.040-360.040-430d
4,0,Pv,Pv06@11,Pv,Pv07@32,021e.010-021e.010-144f-599g,021e.010-021e.010-144f-599g
4,0,Pv,Pv06@42,Qv,Qv07@32,144f-026x-006-700cx,144f-026x-006-700x
4,0,Pv,Pv07@18,Rb,Rb06@15,001-200.050d-001.200.050d-022bfy,001-200.022-001-022
4,0,Qr,Qr03@26,Qr,Qr03@32,072-450.052-551es.003a-600.003a,072-450.052-551a.003a-600.003a
4,0,Qr,Qr08@34,Qv,Qv04@35,306.003a-028x.095j-073f-001,306.003a-028x.095j-073af-001
4,0,Qv,Qv08@19,Rb,Rb06@15,001-200.132a-001.240.132a-022bf,001-200.022-001-022
4,0,Sb,Sb02@9,Sb,Sb02@15,004-660x-081-004,004-660x-081-004
4,0,Sb,Sb04@34,Sb,Sb04@38,022-700-002-001.086,022-700-002-001.635
4,0,Sb,Sb04@34,Sb,Sb04@44,022-700-002-001.086,022-700-002-001
4,0,Sb,Sb04@38,Sb,Sb04@44,022-700-002-001.635,022-700-002-001
4,0,Sb,Sb06@33,Sb,Sb06@40,065V-007-600-007.010,065V-007-600-007.010
4,0,Sb,Sb07@11,Sb,Sb07@27,000!-090f-090f:021f-070,000!-090f-090f:090f-070
